TeamID,Season,Ast,Blk,DR,FGA,FGA3,FGM,FGM3,FTA,FTM,NumOT,OR,PF,Pts,Stl,TO
1101,2014,210,31,427,1053,375,427,140,445,332,3,168,453,1326,121,315
1101,2015,332,33,550,1482,537,600,203,419,305,0,231,577,1708,166,359
1101,2016,348,66,608,1456,509,643,185,587,415,2,221,604,1886,182,362
1101,2017,340,69,572,1333,477,611,177,464,298,4,189,554,1697,175,362
1101,2018,375,98,627,1525,539,689,175,504,355,1,244,568,1908,193,389
1102,2003,364,50,471,1114,583,536,219,479,312,0,117,525,1603,167,320
1102,2004,371,66,430,1177,622,568,237,440,312,0,172,466,1685,218,302
1102,2005,396,50,447,1384,708,621,258,379,276,2,221,478,1776,255,292
1102,2006,397,59,498,1276,607,614,241,414,309,0,190,431,1778,224,306
1102,2007,451,44,626,1408,674,684,272,546,415,0,194,455,2055,188,305
1102,2008,334,50,598,1187,530,519,199,540,375,2,147,481,1612,173,355
1102,2009,345,63,606,1278,510,556,189,540,364,0,201,516,1665,147,393
1102,2010,356,44,576,1322,525,580,163,455,290,0,196,509,1613,140,371
1102,2011,432,71,628,1340,497,628,187,508,356,2,164,488,1799,174,334
1102,2012,361,80,602,1269,507,564,169,500,341,2,158,459,1638,169,351
1102,2013,434,48,621,1450,612,683,233,455,331,1,192,493,1930,174,334
1102,2014,375,83,640,1451,608,618,200,539,372,2,244,529,1808,148,377
1102,2015,432,57,603,1472,587,685,208,454,299,1,255,517,1877,183,340
1102,2016,391,50,765,1651,566,697,189,653,440,4,264,580,2023,183,396
1102,2017,449,56,783,1755,678,751,246,656,470,3,293,555,2218,183,387
1102,2018,403,76,658,1627,708,660,230,520,384,1,285,526,1934,187,370
1103,2003,411,63,538,1508,434,733,147,698,514,8,264,536,2127,196,341
1103,2004,423,71,626,1492,477,696,173,688,444,3,314,545,2009,207,409
1103,2005,451,108,646,1562,598,694,228,570,389,3,288,527,2005,189,374
1103,2006,469,89,664,1627,630,730,225,631,459,2,330,569,2144,181,377
1103,2007,481,140,735,1791,588,865,231,635,427,2,384,600,2388,247,398
1103,2008,444,92,668,1774,717,787,276,708,501,2,369,646,2351,233,421
1103,2009,412,77,726,1845,735,768,242,671,480,3,399,701,2258,260,467
1103,2010,446,105,749,1902,644,828,218,706,470,6,444,656,2344,206,451
1103,2011,488,116,823,1945,744,836,268,620,439,5,342,654,2379,219,409
1103,2012,439,138,760,1741,516,803,189,712,492,2,361,586,2287,234,459
1103,2013,465,173,768,1765,647,799,215,649,417,4,404,558,2230,221,426
1103,2014,368,139,748,1799,673,777,234,733,453,3,406,588,2241,218,436
1103,2015,422,152,814,1916,916,787,320,600,396,1,407,641,2290,213,414
1103,2016,479,127,862,1974,999,856,389,606,418,0,340,589,2519,176,357
1103,2017,479,103,811,1858,901,867,333,683,463,0,324,606,2530,179,384
1103,2018,401,74,728,1769,826,765,293,556,387,3,297,621,2210,185,429
1104,2003,339,106,670,1601,556,673,178,586,416,1,380,505,1940,185,372
1104,2004,344,90,696,1595,540,722,207,634,443,4,328,532,2094,187,385
1104,2005,415,133,794,1580,587,761,229,698,512,3,307,442,2263,156,380
1104,2006,354,146,710,1568,471,711,160,633,447,2,363,401,2029,184,392
1104,2007,407,163,786,1776,542,813,200,644,456,1,414,434,2282,173,424
1104,2008,515,148,812,2010,640,917,232,674,418,4,448,553,2484,246,429
1104,2009,335,140,772,1783,439,779,145,684,482,3,421,520,2185,210,444
1104,2010,429,127,740,1794,500,791,175,615,435,0,386,583,2192,249,410
1104,2011,397,167,770,1789,439,796,131,567,410,2,403,589,2133,296,454
1104,2012,393,133,780,1674,453,756,129,611,437,2,346,589,2078,234,414
1104,2013,335,143,703,1666,523,714,176,573,399,3,334,560,2003,263,399
1104,2014,334,131,700,1606,535,704,178,706,482,3,307,594,2068,209,367
1104,2015,321,112,716,1558,635,683,204,687,496,2,295,598,2066,195,375
1104,2016,338,169,796,1690,732,721,251,697,446,2,313,618,2139,180,426
1104,2017,377,139,887,1850,686,784,218,739,480,4,406,651,2266,198,458
1104,2018,426,186,893,1877,669,860,217,778,523,0,341,646,2460,218,481
1105,2003,378,54,601,1602,540,634,197,568,401,4,351,526,1866,242,485
1105,2004,358,74,695,1679,567,685,180,688,474,0,363,624,2024,209,469
1105,2005,381,112,705,1711,587,686,177,740,454,2,375,561,2003,308,442
1105,2006,279,132,585,1406,447,587,144,587,383,0,297,453,1701,189,360
1105,2007,263,199,617,1433,469,540,123,564,358,1,287,528,1561,175,464
1105,2008,250,147,587,1469,474,559,156,575,395,0,329,489,1669,187,417
1105,2009,256,83,535,1375,403,535,108,544,358,1,295,488,1536,193,389
1105,2010,223,120,497,1315,312,487,88,633,406,1,321,475,1468,216,366
1105,2011,290,132,617,1395,375,554,107,569,355,1,297,500,1570,214,397
1105,2012,276,104,586,1401,433,564,137,497,324,2,284,584,1589,160,423
1105,2013,330,97,680,1613,484,636,140,596,374,3,344,506,1786,159,411
1105,2014,351,114,667,1487,529,603,171,618,410,3,275,615,1787,169,371
1105,2015,337,66,602,1474,554,579,161,613,397,1,348,553,1716,158,396
1105,2016,354,60,645,1573,583,651,165,604,412,3,319,542,1879,157,329
1105,2017,330,52,634,1565,457,630,125,614,409,3,299,526,1794,103,384
1105,2018,340,49,711,1696,601,673,182,533,345,1,335,506,1873,123,514
1106,2003,327,88,668,1548,494,656,171,461,298,1,344,509,1781,234,477
1106,2004,308,94,683,1462,497,617,166,674,443,2,351,561,1843,212,516
1106,2005,311,60,672,1530,453,583,136,673,437,2,338,524,1739,201,473
1106,2006,308,83,674,1686,559,689,174,690,433,1,395,640,1985,179,476
1106,2007,271,79,622,1591,560,579,169,654,419,1,376,585,1746,179,409
1106,2008,391,102,693,1549,487,708,172,509,329,1,322,516,1917,157,357
1106,2009,406,138,717,1593,502,741,165,581,368,0,331,511,2015,167,399
1106,2010,354,117,625,1498,534,594,166,679,439,1,374,583,1793,209,454
1106,2011,372,146,713,1682,527,669,154,785,478,2,426,714,1970,234,503
1106,2012,323,88,642,1593,578,594,174,543,312,5,369,576,1674,217,434
1106,2013,356,100,718,1744,532,705,163,561,333,2,384,581,1906,191,462
1106,2014,338,99,622,1630,527,676,149,667,456,4,364,516,1957,187,339
1106,2015,362,113,700,1603,435,696,154,555,363,1,360,486,1909,164,370
1106,2016,343,110,713,1801,606,719,201,567,393,4,368,619,2032,166,350
1106,2017,284,90,735,1780,649,693,191,615,390,4,417,613,1967,146,467
1106,2018,313,130,737,1838,638,751,209,647,418,1,394,648,2129,169,437
1107,2003,334,57,567,1609,621,673,222,379,278,6,231,445,1846,192,352
1107,2004,314,63,630,1493,455,598,135,393,290,4,286,474,1621,188,441
1107,2005,366,68,635,1472,459,644,174,587,424,2,310,484,1886,225,414
1107,2006,391,80,712,1608,574,719,219,674,478,3,341,592,2135,198,439
1107,2007,420,78,735,1704,581,776,219,572,413,2,352,615,2184,189,428
1107,2008,370,73,751,1650,498,722,172,595,432,4,373,614,2048,160,428
1107,2009,367,63,781,1713,442,715,130,590,424,1,425,626,1984,160,474
1107,2010,380,97,757,1736,585,710,194,545,393,2,399,602,2007,187,517
1107,2011,371,90,779,1707,631,724,238,507,327,5,376,505,2013,150,411
1107,2012,406,93,756,1832,649,816,233,675,509,1,392,560,2374,182,413
1107,2013,380,69,807,1696,560,742,204,684,502,1,335,545,2190,185,455
1107,2014,354,98,775,1635,431,718,157,695,520,3,331,552,2113,177,404
1107,2015,334,52,756,1605,547,706,197,640,487,1,320,528,2096,181,374
1107,2016,386,49,822,1713,547,781,177,766,574,2,363,545,2313,201,394
1107,2017,415,56,807,1814,483,848,178,616,470,0,351,589,2344,169,392
1107,2018,388,91,783,1764,481,802,177,652,492,0,360,504,2273,146,364
1108,2003,457,116,766,1938,539,823,172,691,462,2,433,649,2280,270,609
1108,2004,329,62,633,1520,461,646,162,592,401,0,329,564,1855,179,560
1108,2005,309,97,624,1491,474,559,132,590,351,3,310,641,1601,209,556
1108,2006,337,85,681,1544,526,652,170,570,374,0,317,613,1848,195,512
1108,2007,263,76,671,1636,489,668,135,655,443,1,361,698,1914,189,544
1108,2008,276,45,608,1644,504,682,174,587,406,3,336,635,1944,188,498
1108,2009,297,48,596,1703,531,673,179,615,415,2,276,545,1940,235,422
1108,2010,269,98,709,1717,437,651,135,725,443,1,356,670,1880,214,642
1108,2011,255,103,697,1664,359,614,116,781,494,1,295,610,1838,218,473
1108,2012,260,93,584,1463,377,595,112,548,378,0,248,550,1680,185,447
1108,2013,286,122,724,1744,526,661,154,665,416,1,320,638,1892,206,488
1108,2014,250,104,580,1473,412,604,124,610,402,5,269,529,1734,152,325
